City,Population,Total Offenses
Tye,"1,203",25
Tyler,"110,824","6,959"
Universal City,"20,112","1,715"
University Park,"25,080",439
Uvalde,"15,538",964
Valley Mills,"1,294",28
Van,"2,891",94
Van Alstyne,"7,203",214
Vega,861,2
Venus,"8,228",228
Vernon,"9,598",503
Victoria,"65,298","4,308"
Vidor,"9,642",273
Waco,"145,741","9,593"
Waelder,956,32
Wake Village,"5,794",144
Waller,"3,364",146
Wallis,"1,365",29
Watauga,"22,782","1,038"
Waxahachie,"47,535","1,963"
Weatherford,"39,115","2,027"
Webster,"12,045","1,827"
Weimar,"2,101",72
Weslaco,"43,072","4,269"
West,"2,586",33
West Columbia,"3,579",170
West Lake Hills,"3,166",150
West Orange,"3,396",162
Westover Hills,639,25
West University Place,"14,686",399
Westworth,"2,658",346
Wharton,"8,792",540
Whitehouse,"9,609",161
White Oak,"6,233",141
Whitesboro,"4,396",67
White Settlement,"17,949",901
Whitewright,"1,856",31
Whitney,"2,096",100
Wichita Falls,"102,740","7,118"
Willis,"7,201",451
Willow Park,"6,023",263
Wills Point,"4,023",97
Wilmer,"6,169",257
Windcrest,"5,766","1,205"
Wink,837,3
Winnsboro,"3,611",121
Winters,"2,318",38
Wolfforth,"7,135",182
Woodbranch,"1,546",0
Woodsboro,"1,245",20
Woodville,"2,420",54
Wortham,"1,017",42
Wylie,"62,539","1,227"
Yoakum,"5,885",92
Zavalla,610,36
