City,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Man-slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Criminal Sexual Contact,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counter-feiting/Forgery,Destruction/Damage/Vandalism of Property,Unnamed: 30
Arlington,394799,26761,8214,14318,4229,7723,1395,5101,1227,20,16,3,1,14,13,1,19,438,246,33,9,149,1,0,12,3,1061,330,2067,0
Arp,984,40,10,20,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
Athens,13068,644,193,404,47,172,35,99,38,2,1,1,0,0,0,0,1,18,9,1,2,6,0,0,1,0,49,10,69,0
Atlanta,5427,139,46,88,5,45,5,35,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,13,0
Aubrey,9712,436,173,207,56,163,15,133,15,1,1,0,0,0,0,0,6,3,2,0,0,1,0,0,0,0,49,3,22,0
Austin,978816,70295,18517,46028,5750,17354,3449,9364,4541,81,66,9,6,8,2,6,253,821,327,48,117,329,0,0,147,3,4345,782,6303,0
Azle,14228,717,202,315,200,181,29,134,18,0,0,0,0,0,0,0,1,20,13,0,2,5,0,0,1,0,34,9,46,0
Balch Springs,26776,1586,307,1181,98,270,87,144,39,5,5,0,0,1,0,1,10,21,6,3,0,12,0,0,0,0,126,24,215,0
Balcones Heights,2695,639,112,402,125,108,37,65,6,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,32,10,70,0
Ballinger,3546,113,36,69,8,32,8,24,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,17,2,13,0
Bangs,1533,26,17,7,2,17,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Bastrop,11961,1080,241,658,181,231,43,160,28,0,0,0,0,0,0,0,0,10,7,0,0,3,0,0,0,1,46,54,133,0
Bay City,17247,1472,420,759,293,408,77,287,44,2,2,0,0,0,0,0,3,7,4,1,0,2,0,0,7,0,90,28,122,0
Baytown,83809,5841,1533,3511,797,1446,222,981,243,3,2,1,0,4,2,2,5,75,45,9,0,21,0,0,3,0,400,15,426,0
Beaumont,110671,11379,4500,5613,1266,4235,1160,2399,676,17,17,0,0,1,1,0,74,173,82,28,13,50,0,0,19,0,637,149,926,0
Bedford,48193,2692,532,1376,784,488,69,340,79,0,0,0,0,1,1,0,4,39,25,4,1,9,0,0,0,0,88,21,142,0
Bee Cave,8704,455,42,305,108,35,12,14,9,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,0,16,9,34,0
Beeville,13176,876,219,524,133,210,43,150,17,0,0,0,0,0,0,0,2,7,4,2,1,0,0,0,7,0,82,9,126,0
Bellaire,16894,831,57,540,234,56,9,34,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,8,56,0
Bellmead,10615,732,179,432,121,164,17,109,38,0,0,0,0,4,0,4,2,9,7,0,0,2,0,0,3,2,23,12,53,0
Bells,1574,10,2,7,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bellville,4215,182,51,85,46,47,8,22,17,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,8,6,20,0
Belton,24946,1683,428,839,416,390,26,309,55,1,1,0,0,0,0,0,5,32,17,1,0,14,0,0,2,0,57,48,144,0
Benbrook,24425,1187,204,652,331,191,43,127,21,4,4,0,0,0,0,0,0,9,8,0,0,1,0,0,0,0,34,18,53,0
Bertram,2247,59,15,11,33,13,3,10,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0
Beverly Hills,1870,218,50,75,93,47,14,17,16,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,11,9,13,0
Big Sandy,1314,53,8,32,13,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,4,0
Big Spring,24933,2046,847,883,316,813,151,602,60,5,4,1,0,0,0,0,6,23,17,3,0,3,0,0,2,0,107,31,182,0
Blanco,1987,80,21,38,21,18,2,7,9,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,5,3,4,0
Blue Mound,2302,26,5,16,5,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,5,0
Boerne,22163,719,148,380,191,140,13,110,17,0,0,0,0,0,0,0,0,8,5,0,0,3,0,0,1,0,61,9,71,0
Bogata,1094,5,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Borger,12116,703,254,372,77,235,60,139,36,2,1,1,0,0,0,0,2,15,14,0,0,1,0,0,0,0,57,10,102,0
Bovina,1635,16,9,5,2,7,2,4,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,3,0
Bowie,5893,237,61,144,32,54,7,36,11,0,0,0,0,0,0,0,0,7,3,0,1,3,0,0,0,0,17,11,39,0
Boyd,1606,69,16,17,36,16,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0
Brady,4964,186,77,72,37,74,10,60,4,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,0,20,1,11,0
Brazoria,2827,78,21,53,4,20,2,13,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,2,0
Breckenridge,5172,229,61,114,54,58,5,39,14,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,22,9,16,0
Bremond,877,21,14,6,1,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brenham,19047,1198,303,480,415,287,43,170,74,1,1,0,0,0,0,0,3,12,6,2,2,2,0,0,0,0,19,26,61,0
Bridge City,9585,155,50,67,38,42,2,33,7,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,14,1,14,0
Bridgeport,6523,348,55,112,181,53,4,47,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,10,11,35,0
Brookshire,5755,174,51,111,12,43,8,26,9,1,1,0,0,0,0,0,0,7,6,1,0,0,0,0,1,0,6,4,22,0
Brownfield,8624,403,153,180,70,150,31,106,13,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,27,0,40,0
Brownsville,190590,10703,3656,6262,785,3530,587,1977,966,11,8,3,0,1,1,0,44,70,33,7,5,25,0,0,22,0,429,67,1384,0
Brownwood,18652,1400,488,730,182,431,62,276,93,3,3,0,0,0,0,0,23,31,16,4,1,10,0,0,4,0,51,31,99,0
Bruceville-Eddy,1459,31,8,17,6,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0
Buda,16508,656,89,463,104,87,16,54,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,19,30,46,0
Buffalo,1848,75,14,57,4,11,2,9,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,11,3,3,0
Bullard,4553,63,11,27,25,8,1,4,3,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,6,1,0
Bulverde,6907,586,42,181,363,36,11,20,5,1,1,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,13,8,34,0
Burkburnett,11166,295,109,132,54,93,12,63,18,2,2,0,0,0,0,0,0,14,10,2,0,2,0,0,0,0,10,5,38,0
Burleson,56307,1984,504,1078,402,472,80,356,36,0,0,0,0,0,0,0,4,28,16,3,5,4,0,0,2,0,84,48,117,0
Burnet,6841,327,77,92,158,72,6,50,16,0,0,0,0,0,0,0,2,3,0,0,1,2,0,0,1,0,9,13,18,0
Cactus,3058,184,71,56,57,67,13,53,1,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,1,3,20,0
Caddo Mills,5344,53,18,24,11,15,2,12,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,2,4,0
Caldwell,4520,108,29,53,26,26,5,18,3,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,9,2,5,0
Calvert,969,68,14,40,14,14,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,5,0
Cameron,5472,105,31,69,5,29,4,24,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,19,3,11,0
Canton,4726,228,36,168,24,33,4,29,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,31,7,18,0
Canyon,16211,388,104,206,78,100,22,58,20,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,1,0,17,4,46,0
Carrollton,134261,5357,1019,2601,1737,947,153,672,122,11,6,5,0,0,0,0,15,46,32,2,0,12,0,0,6,2,211,43,156,0
Carthage,6565,448,167,268,13,158,25,105,28,0,0,0,0,0,0,0,0,9,6,0,0,3,0,0,3,0,17,13,46,0
Castle Hills,3909,408,37,208,163,36,8,18,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,17,36,0
Castroville,3138,128,15,88,25,15,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,0
Cedar Hill,48247,2120,369,1310,441,354,63,263,28,1,1,0,0,0,0,0,2,12,5,3,0,4,0,0,2,0,114,13,224,0
Cedar Park,77464,2922,661,1385,876,591,42,458,91,1,1,0,0,0,0,0,0,69,36,1,3,29,0,0,2,0,84,32,23,0
Celina,24571,783,173,409,201,165,21,107,37,1,1,0,0,0,0,0,0,7,6,0,0,1,0,0,5,0,59,12,37,0
Center,5124,391,95,178,118,92,24,67,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,22,5,26,0
Chandler,3577,41,3,30,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0
Charlotte,1597,32,7,24,1,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0
Childress,5830,144,41,40,63,38,9,29,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,3,9,0
China Grove,1131,64,4,38,22,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,3,0
Cibolo,35851,1057,380,553,124,347,35,253,59,0,0,0,0,0,0,0,0,33,20,4,0,9,0,0,3,0,28,16,88,0
Cisco,3986,138,39,75,24,36,2,28,6,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,18,3,18,0
Cleburne,35075,1429,359,592,478,316,68,228,20,1,1,0,0,0,0,0,4,38,15,4,2,17,0,0,1,0,34,25,74,0
Clifton,3536,94,19,21,54,17,7,8,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,4,3,0
Clute,10640,718,274,365,79,265,18,237,10,0,0,0,0,0,0,0,0,9,7,1,0,1,0,0,0,0,83,10,72,0
Clyde,4010,142,49,59,34,45,6,39,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,0,0,9,1,14,0
Cockrell Hill,3658,168,28,97,43,27,8,17,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,0,16,0
Coleman,4001,94,20,16,58,19,5,12,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0
College Station,126136,4899,1031,2612,1256,919,112,691,116,4,4,0,0,2,2,0,11,95,49,7,7,31,1,0,0,0,173,75,346,0
Colleyville,25748,720,63,301,356,57,9,30,18,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,0,9,21,23,0
Collinsville,2086,21,9,1,11,7,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0
Colorado City,3910,165,28,117,20,27,6,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,32,0
Columbus,3724,111,37,58,16,34,10,22,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,2,3,8,0
Comanche,4273,219,85,105,29,78,8,53,17,0,0,0,0,0,0,0,2,5,2,1,0,2,0,0,1,0,8,2,19,0
Combes,3173,179,27,61,91,22,4,10,8,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,4,0,16,0
Commerce,9372,512,187,277,48,177,42,110,25,1,1,0,0,0,0,0,0,9,6,1,0,2,0,0,1,0,18,15,63,0
Conroe,106904,5493,1480,2759,1254,1374,156,976,242,5,3,2,0,0,0,0,16,85,23,12,8,41,1,0,5,2,222,130,446,0
Converse,30522,1600,288,956,356,283,108,149,26,1,0,1,0,0,0,0,1,3,2,1,0,0,0,0,1,0,97,19,210,0
Coppell,41719,947,141,698,108,135,20,107,8,0,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,30,5,106,0
Copperas Cove,38602,2746,904,1177,665,797,67,609,121,1,1,0,0,1,1,0,13,92,58,9,5,20,0,0,3,0,79,30,206,0
Corinth,22965,509,110,305,94,104,14,79,11,0,0,0,0,0,0,0,1,5,4,0,0,1,0,0,1,0,58,8,35,0
Corpus Christi,315340,29880,10072,15600,4208,9538,2107,5529,1902,25,20,3,2,5,2,3,31,473,164,83,42,182,2,0,58,0,1664,392,2851,0
Corrigan,1480,61,17,26,18,14,4,9,1,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,2,0
Corsicana,25782,1542,334,964,244,297,85,198,14,0,0,0,0,0,0,0,2,35,25,0,5,5,0,0,10,0,115,30,165,0
Crandall,5054,551,222,248,81,209,52,139,18,1,1,0,0,0,0,0,1,11,8,0,0,3,0,0,1,0,24,8,77,0
Crane,3293,63,24,7,32,23,4,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
Crockett,6302,437,83,201,153,79,14,65,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,29,10,42,0
Crowley,20071,1121,171,665,285,155,33,111,11,1,1,0,0,0,0,0,4,11,5,2,0,4,0,0,1,0,63,13,102,0
Crystal City,6050,115,53,59,3,52,15,37,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,15,0,20,0
Cuero,8085,450,135,217,98,134,73,45,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,15,11,58,0
Cuney,115,5,3,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daingerfield,2521,141,40,77,24,38,16,16,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,2,7,0
Dalhart,8389,287,109,131,47,101,26,63,12,1,0,1,0,0,0,0,2,5,1,1,0,3,0,0,0,0,29,10,33,0
Dallas,1304989,109358,26599,69491,13268,25268,6098,14754,4416,283,242,20,21,45,44,1,172,831,366,113,59,291,2,0,147,2,6137,249,9909,0
Dalworthington Gardens,2263,64,3,39,22,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0
Dawson,828,17,6,1,10,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dayton,9655,364,69,198,97,63,15,40,8,2,2,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,24,4,40,0
Decatur,7499,743,77,343,323,72,11,50,11,0,0,0,0,0,0,0,0,5,1,2,0,2,0,0,0,0,14,12,42,0
Deer Park,33033,1427,259,731,437,238,30,198,10,2,1,1,0,0,0,0,1,18,9,3,0,6,0,0,3,0,42,9,103,0
De Leon,2332,59,26,32,1,25,3,18,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,9,1,3,0
Del Rio,34466,1432,450,899,83,407,30,252,125,0,0,0,0,0,0,0,6,37,16,2,0,19,0,0,3,0,141,17,190,0
Denison,27261,967,195,367,405,174,49,97,28,4,3,1,0,0,0,0,2,15,11,2,0,2,0,0,3,0,52,15,64,0
Denton,155215,8310,2282,5071,957,2149,242,1383,524,9,9,0,0,2,2,0,7,115,51,0,31,33,0,0,10,2,301,84,695,0
Denver City,4230,81,35,39,7,31,4,20,7,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,7,0,10,0
DeSoto,56257,2777,882,1650,245,815,100,547,168,0,0,0,0,0,0,0,3,64,29,6,3,26,0,0,2,0,129,9,322,0
Devine,4590,153,29,101,23,29,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0
Diboll,4617,163,46,77,40,41,10,21,10,2,2,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,8,3,15,0
Dickinson,21881,843,332,422,89,304,31,235,38,1,1,0,0,0,0,0,0,27,12,3,0,12,0,0,1,0,48,12,84,0
Dilley,3331,85,33,47,5,33,8,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,9,0
Dimmitt,4100,84,24,26,34,21,4,16,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,13,0,6,0
Donna,16769,1350,317,925,108,293,221,29,43,2,2,0,0,1,1,0,2,19,9,1,1,7,1,0,0,0,78,7,188,0
Double Oak,3084,33,8,19,6,7,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,0
Driscoll,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,3470,26,10,10,6,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0
Dumas,14037,725,188,431,106,176,31,126,19,0,0,0,0,0,0,0,0,12,8,2,0,2,0,0,0,0,26,31,71,0
Duncanville,39104,1914,521,1207,186,501,109,356,36,1,1,0,0,0,0,0,1,18,10,0,0,8,0,0,0,0,100,17,144,0
Eagle Pass,28315,1620,462,977,181,451,47,264,140,0,0,0,0,0,0,0,9,2,1,0,0,1,0,0,3,0,142,33,150,0
Early,3243,185,68,79,38,61,14,36,11,3,0,3,0,0,0,0,1,3,2,0,0,1,0,0,1,0,6,3,16,0
Eastland,3653,259,58,107,94,55,3,42,10,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,9,4,23,0
East Mountain,951,9,2,3,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Edcouch,2674,43,21,16,6,19,8,8,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,4,0
Edgewood,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinburg,106137,7341,2246,3952,1143,2078,204,1650,224,2,2,0,0,0,0,0,30,136,68,7,6,55,0,0,4,1,173,76,805,0
Edna,6015,173,75,60,38,72,15,49,8,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,11,1,17,0
El Campo,12103,956,233,493,230,216,64,113,39,0,0,0,0,0,0,0,0,17,5,1,1,10,0,0,2,0,28,39,77,0
Electra,2290,95,42,48,5,37,11,19,7,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,1,12,0
Elgin,12235,628,149,293,186,140,20,113,7,2,2,0,0,0,0,0,0,7,5,1,0,1,0,0,1,0,34,6,63,0
El Paso,676665,32675,10425,18431,3819,9852,1665,6197,1990,38,34,4,0,2,2,0,125,408,240,34,3,131,0,0,97,0,1062,209,4613,0
Elsa,5663,519,102,276,141,99,18,80,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,33,2,46,0
Emory,1394,20,6,10,4,4,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,1,0
Encinal,517,23,5,10,8,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Ennis,24347,728,124,523,81,120,26,91,3,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,37,3,119,0
Euless,59722,2710,463,1652,595,410,74,294,42,0,0,0,0,0,0,0,7,46,22,4,0,20,0,0,4,0,116,39,187,0
Eustace,1156,29,5,3,21,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Everman,5929,221,54,135,32,49,11,31,7,1,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,20,0,25,0
Fairfield,2926,114,32,74,8,30,14,13,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,7,2,8,0
Fair Oaks Ranch,11753,428,31,136,261,31,4,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,10,0
Fairview,11071,174,11,138,25,10,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,1,15,0
Falfurrias,4398,38,20,13,5,17,11,6,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,2,0,0,0
Farmers Branch,36538,2088,334,1381,373,314,44,246,24,4,4,0,0,0,0,0,4,12,6,1,3,2,0,0,1,0,123,15,147,0
Farmersville,4227,96,32,44,20,28,5,22,1,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,4,1,9,0
Farwell,1369,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Fate,25400,366,107,192,67,98,15,75,8,0,0,0,0,0,0,0,0,9,5,0,0,4,0,0,0,0,11,12,39,0
Ferris,2934,78,22,47,9,20,8,11,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,1,11,0
Flatonia,1365,45,7,17,21,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
Florence,1203,35,11,13,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
Floresville,8480,305,69,195,41,65,8,55,2,0,0,0,0,0,0,0,1,3,2,0,0,1,0,0,1,0,35,3,32,0
Flower Mound,79513,1286,227,868,191,210,35,135,40,0,0,0,0,0,0,0,0,17,5,6,0,6,0,0,3,0,44,25,96,0
Floydada,2560,77,21,48,8,20,7,10,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,2,12,0
Forest Hill,13583,425,105,250,70,93,12,70,11,1,1,0,0,0,0,0,1,10,7,0,1,2,0,0,0,0,35,0,7,0
Forney,37242,799,143,447,209,120,22,75,23,1,1,0,0,0,0,0,4,18,13,3,0,2,0,0,0,0,25,14,43,0
Fort Stockton,8053,158,66,59,33,59,6,47,6,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,2,0,14,4,16,0
Fort Worth,973722,52965,13352,34136,5477,12203,3351,7449,1403,92,85,3,4,25,20,5,257,775,548,91,36,100,0,0,107,3,3430,228,5893,0
Franklin,1790,42,11,25,6,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0
Frankston,1094,136,12,35,89,9,1,2,6,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,1,0,4,0
Fredericksburg,11446,291,73,168,50,68,4,50,14,0,0,0,0,0,0,0,1,4,2,0,1,1,0,0,0,0,20,8,46,0
Freeport,10478,459,156,262,41,143,60,65,18,0,0,0,0,0,0,0,0,13,10,0,0,3,0,0,1,0,30,7,59,0
Freer,2360,82,36,42,4,30,2,16,12,0,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,9,3,11,0
Friendswood,40678,1021,217,573,231,201,22,135,44,2,2,0,0,0,0,0,0,14,5,0,2,6,1,0,1,0,21,39,33,0
Friona,4001,31,6,15,10,4,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,8,0
Frisco,228527,6878,1086,4523,1269,1022,133,805,84,2,1,1,0,0,0,0,2,60,24,8,5,23,0,0,12,0,171,62,359,0
Fulshear,25579,332,41,176,115,40,4,36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,4,22,0
Gainesville,18167,1162,239,518,405,217,45,155,17,2,2,0,0,0,0,0,4,16,6,1,2,7,0,0,3,0,36,18,91,0
